plz,einwohner,qkm,lat,lon
652,125344,201.144497,50.10914,8.31419
653,99227,545.269197,50.12672,8.01707
654,147946,182.228048,49.97227,8.40894
655,162462,575.338352,50.35081,8.11262
656,52779,239.031289,50.38169,8.22437
657,110653,116.009419,50.11671,8.41187
658,76654,63.935686,50.13974,8.51827
659,103959,37.384515,50.09879,8.51293
661,175780,167.674113,49.24711,6.99750
662,84903,127.044652,49.32477,7.00656
663,121240,231.521333,49.23881,6.84292
664,141724,456.873653,49.26145,7.33544
665,144506,321.588166,49.36331,7.09017
666,164382,871.562854,49.51848,7.05661
667,157225,424.818566,49.34298,6.72241
668,142974,679.665435,49.43400,6.88544
669,124483,746.469913,49.21063,7.62616
670,175834,186.896317,49.48730,8.39007
671,114688,258.348404,49.42154,8.30364
672,135621,367.337885,49.55548,8.26402
673,124175,362.231790,49.28951,8.37266
674,116798,444.068877,49.35528,8.09301
675,126500,333.153065,49.70389,8.28444
676,133615,369.139332,49.46741,7.78135
677,56912,540.441959,49.56866,7.86843
678,28214,355.541497,49.68221,7.80080
681,142276,45.483819,49.49051,8.47727
682,64827,43.689387,49.44403,8.54581
683,83003,55.788913,49.54184,8.47639
685,77203,99.317470,49.50905,8.60843
686,58866,166.621058,49.65458,8.43998
687,138468,208.132183,49.30352,8.56311
688,11880,19.378710,49.29707,8.51071
691,238718,236.622104,49.38247,8.70968
692,109854,207.512090,49.27053,8.73685
694,106772,492.146139,49.49327,9.07013
695,34581,71.327209,49.57025,8.76902
701,194661,47.454552,48.77911,9.15538
703,134951,47.885672,48.80317,9.22459
704,114436,40.234526,48.82160,9.13371
705,117375,63.608463,48.73078,9.13800
706,24368,11.942846,48.68880,9.20571
707,123894,92.180887,48.66719,9.20201
708,68217,52.156615,48.84652,9.09769
710,157240,193.869224,48.59973,8.87958
711,106799,250.565846,48.66979,8.89936
712,141984,252.093166,48.79965,8.93713
713,130003,127.919916,48.83972,9.31781
714,19148,21.193967,48.85761,9.35924
715,106777,373.997231,49.01517,9.48583
716,191201,188.329128,48.90094,9.22069
717,101410,216.191187,48.90229,9.08087
720,82543,107.909946,48.52215,9.05120
721,191533,768.390995,48.44566,8.81563
722,131375,880.444502,48.49024,8.40760
723,90140,465.309935,48.22406,8.79738
724,119939,605.794424,48.22262,9.04595
725,116875,974.118813,48.30915,9.43285
726,110467,181.383316,48.60194,9.30699
727,127210,117.859443,48.49571,9.19036
728,56874,310.624148,48.38314,9.22820
730,153100,234.978191,48.69750,9.67426
731,30289,106.910472,48.65333,9.69699
732,146814,258.446613,48.62740,9.48466
733,58829,286.809071,48.59525,9.77866
734,176475,1087.095525,48.89179,10.18428
735,132716,445.653475,48.81934,9.81519
736,115864,297.196976,48.83436,9.52745
737,163908,117.790903,48.72406,9.30391
740,116038,100.233117,49.15130,9.20199
741,96490,221.206538,49.09531,9.30964
742,99267,471.362376,49.29533,9.39483
743,180931,402.607896,49.02137,9.07437
744,35865,350.569547,48.99217,9.83469
745,155789,1186.982320,49.21293,9.94395
746,97250,640.935146,49.25691,9.61411
747,61831,632.481695,49.51094,9.39913
748,115507,556.187094,49.37725,9.18921
749,69928,321.086543,49.29062,8.97893
750,84618,305.260044,49.09010,8.86002
751,126135,123.069953,48.87795,8.72035
752,80792,225.069233,48.81243,8.78306
753,112180,567.167434,48.74835,8.65874
754,62799,198.543240,48.96134,8.85722
761,234609,118.590756,49.02452,8.38638
762,136305,189.238720,49.00827,8.48568
763,108470,277.957357,48.91520,8.49928
764,100251,199.652991,48.88345,8.21284
765,120569,488.005689,48.72448,8.29584
766,120989,311.402705,49.16322,8.55917
767,119402,436.531840,49.13074,8.73738
768,160133,867.399801,49.16673,8.05737
776,90817,154.256006,48.51890,7.93550
777,152188,1112.985710,48.41049,8.15469
778,119031,475.619627,48.66352,8.07462
779,106511,402.135196,48.31792,7.85834
780,117174,349.576647,48.05691,8.47358
781,103726,896.375643,48.00911,8.23888
782,110033,427.408609,47.80458,8.78110
783,69240,300.862489,47.79727,8.99371
784,89772,93.211711,47.71400,9.12388
785,94101,454.098414,48.03187,8.88543
786,86758,417.878231,48.12991,8.64926
787,47242,212.143773,48.24417,8.40370
790,8288,1.346262,47.99514,7.84878
791,261815,275.034721,47.97599,7.87018
792,158417,921.038825,48.01770,8.02386
793,130647,478.658245,48.16678,7.78713
794,37024,216.646038,47.73801,7.64334
795,105999,182.281545,47.65267,7.65311
796,106347,525.319029,47.70640,7.87925
797,116019,632.012764,47.68816,8.30593
798,71734,914.157602,47.82179,8.22418
803,74913,8.710082,48.13786,11.55371
804,23960,1.223598,48.12662,11.57054
805,14219,2.975539,48.14317,11.58617
806,160302,21.806883,48.14854,11.51524
807,58912,3.788332,48.15984,11.56210
808,106676,18.327327,48.17140,11.59022
809,176327,78.130464,48.20654,11.54288
812,99390,49.160157,48.16519,11.42728
813,141536,22.672829,48.10852,11.51170
814,59586,13.404165,48.08270,11.50780
815,125343,17.717112,48.09860,11.58229
816,108634,14.401161,48.13283,11.61884
817,75137,15.916609,48.09822,11.64542
818,69434,22.003269,48.12087,11.66828
819,54034,20.663792,48.16065,11.64370
820,101628,284.220901,48.00706,11.52963
821,149957,158.168608,48.13244,11.35990
822,156737,600.665818,48.12700,11.14120
823,130174,668.954985,47.87376,11.09809
824,102548,1348.787117,47.58091,11.14674
825,56768,273.986905,47.87170,11.40445
830,168559,483.720258,47.77203,12.05665
831,61215,541.869636,47.96313,12.32903
832,70301,551.639747,47.77920,12.41936
833,127433,944.938281,47.89468,12.77799
834,83235,808.573666,47.75347,12.88981
835,64157,576.256666,48.05632,12.19963
836,102981,1061.577525,47.72601,11.52607
837,54990,591.884530,47.72305,11.91026
840,188004,1198.802397,48.67067,11.97665
841,127181,1288.864169,48.54136,12.41174
843,96172,954.865572,48.39503,12.83080
844,119277,719.046415,48.28471,12.17838
845,126740,971.493300,48.17755,12.61196
850,194929,474.503248,48.75469,11.46768
851,69528,722.322970,48.91216,11.35448
852,173534,876.019873,48.47511,11.43594
853,131309,555.469822,48.35770,11.72183
854,110418,725.756345,48.39678,11.90928
855,142022,230.881010,48.08320,11.97253
856,110846,597.922595,48.08040,11.80207
857,105114,208.987953,48.28366,11.55468
861,267780,148.641863,48.35845,10.90178
863,140679,263.920213,48.36438,11.00828
864,136242,930.595764,48.37379,10.58426
865,105770,937.284990,48.50309,11.16045
866,159905,1427.677590,48.69890,10.83837
867,60995,640.119964,48.86543,10.55656
868,132414,797.919257,48.12700,10.68550
869,112297,937.103031,47.94646,10.96532
874,148776,823.162102,47.71056,10.29383
875,78159,901.729788,47.44998,10.28156
876,139499,1128.871664,47.74927,10.59989
877,141719,1027.108795,48.02257,10.34191
880,121825,279.097920,47.67243,9.53244
881,80245,336.030778,47.60830,9.90811
882,180589,840.226697,47.76063,9.64813
883,101847,842.471491,47.70303,10.06979
884,186365,1382.254426,48.06181,9.83709
885,34289,363.076864,48.10143,9.47989
886,106004,780.902659,47.89332,9.23802
887,9353,21.710437,47.69962,9.28518
890,116833,118.771294,48.38770,9.92890
891,123794,818.904799,48.40063,9.81921
892,163982,515.343591,48.29293,10.16981
893,84747,490.922523,48.42139,10.34585
894,67598,510.859894,48.58847,10.45649
895,159293,851.278009,48.65152,10.08379
896,25012,237.114050,48.33632,9.70777
904,486607,238.014444,49.43609,11.12995
905,228287,765.473207,49.35495,11.24185
906,25834,178.533589,49.45605,10.62363
907,115525,63.404431,49.48857,10.95872
910,189704,360.567746,49.60909,10.97080
911,131022,777.662772,49.19130,11.05690
912,127793,1046.925648,49.62292,11.45068
913,130884,839.288603,49.76058,11.13055
914,80852,926.541424,49.58943,10.53985
915,145408,1101.347134,49.22178,10.42206
916,49595,707.246852,49.10576,10.34198
917,115240,1251.929638,49.05022,10.79834
918,9971,145.527232,48.93118,10.73189
922,141981,1325.533940,49.43408,11.79702
923,126259,1310.487506,49.18108,11.60916
924,56953,552.534840,49.31390,12.24133
925,47719,670.619170,49.46391,12.30129
926,101880,890.292354,49.73028,12.32188
927,38624,595.681544,49.63129,12.45642
930,203619,467.760032,48.95808,12.15008
931,171685,1470.744774,49.12694,12.17788
933,82750,869.931190,48.86105,11.87095
934,110104,1277.896022,49.29304,12.79959
940,132574,736.969320,48.45312,13.17765
941,102590,1137.800625,48.74354,13.43506
942,75068,938.284384,49.01521,13.11539
943,127133,1076.461779,48.91749,12.65824
944,142239,1051.545464,48.69526,12.67525
945,113567,1287.759398,48.72463,13.19870
950,44790,58.476429,50.31106,11.88207
951,106379,974.849374,50.24027,11.94501
952,26897,231.787845,50.19101,11.77713
953,63280,521.093908,50.10129,11.46932
954,135136,797.942743,49.96804,11.68187
955,28571,322.416972,49.82614,11.87659
956,87832,906.561605,49.94092,12.25630
957,14209,249.219114,49.80718,12.28685
960,70651,54.571212,49.88565,10.89148
961,182134,1779.644344,49.97805,11.03205
962,97543,720.638887,50.14068,11.11511
963,66076,608.882877,50.34125,11.40530
964,98724,407.655895,50.29772,10.95136
965,47664,313.710927,50.38714,11.10536
970,124375,87.625624,49.77804,9.94348
971,11067,63.565948,49.65869,10.05045
972,169704,1199.142243,49.71793,9.87590
973,85458,634.830732,49.75185,10.24198
974,167470,974.045245,50.05273,10.56385
975,70255,657.282761,49.97747,10.27964
976,99201,1036.758336,50.38058,10.20551
977,125990,1589.530415,50.17206,9.78217
978,91622,798.818109,49.90045,9.56413
979,113001,1172.898114,49.54142,9.75154
985,127182,904.815945,50.66128,10.63815
986,144275,1538.693901,50.47689,10.54697
987,32305,373.165658,50.53449,11.09654
990,200963,269.559398,50.98558,11.02680
991,31549,343.992014,50.91150,11.14368
993,59437,507.082200,50.79454,11.01115
994,104319,605.898660,50.95120,11.31725
995,40038,267.674446,51.03953,11.53361
996,53721,590.558375,51.20610,11.18225
997,131096,1376.335521,51.42438,10.75086
998,216965,1562.003292,50.93475,10.44240
999,109309,1009.281436,51.18809,10.57370
